字段1_文本,字段2,时间,字段3
种花家编号9527,【购车经历】 这是自己选的第三辆车，从普通燃油轿车换到了燃油SUV，到今天换成纯电的别克E5，没开过电车前一直觉得自己开的燃油车很好，各方面也满足了自己日常的日用感受，直到我在抖音上看到了上海车展的别克E5，感觉就是这样的一见钟情！没有为什么，看对眼了，就喜欢了，然后就是去4S店试驾，在APP上付了定金，加了8000元的选配，觉得很值，HUD和BOSS音箱，氛围灯都是我喜欢的，然后就等着爱车到来，过了几天销售帮我转到了线下，大约等了一周就通知新车到店了，然后就是支付尾款，购买保险，检查了车况，办理了牌照，开车走人。 【提车价格】 我买的是臻享标续，225900+8000元 保险是在4S店买的，6000多元 服务费、上牌费给了1500元 很多群友说服务费可以不用给，可以投诉，想想算了，销售也忙钱忙后，觉得还是给吧！ 【驾驶感受】 电车的驾驶感受和油车那真的是不一样，起步轻盈，快，很多人都说E5起步不快，相对于新势力那是肯定的，但是对于我这种40岁的油腻大叔，有家庭，有孩子，我觉得就完全够了，我也不会和人家比速度，只要自己觉得可以就行，反正车都是自己开的。然后E5的调教真的很好，这一点真的不是新势力一学就会的，各种路面都过滤的非常好，你坐在里面开就会觉得很稳，心里踏实，然后隔音非常好，胎噪和风噪都非常的小，这个和我的前任对比起来就真的是天差地别了，哈哈，谁让梁家辉说的，我买它所以我要堵车😂，各位知道我买的前任是什么品牌了吧…… 然后坐在宽敞的座椅内，看着大连屏，看着后排大空间女儿在里面嘻嘻玩笑，自己觉得自己选对了。 一句“你好，别克”基本上能解决90%的问题，记忆座椅、电动尾门，物理按键，反正一切的一切我觉得就是自己想要的。 【续航】 续航的话，提车后的表显是可以开450公里，我一直开了350多公里后还剩30%，进行了首次充电，充到90%后显示剩余续航可以开404公里，也在很多地方看到大家可以开500多公里，但是目前自己还没有能做到，反正我开车耶不关心这些，开着舒服就行，我也不会长途去开，买了这车就打算只在江浙沪地区开开，按照现在的实际续航450公里我觉得够用了，反正到剩余20%我就充电，留100公里做基础备用。 【动力表现】 动力的话仁者见仁了，反正我说了现在这样的起步已经很快，路上一般的超车也很容易，如果你舍得踩那肯定有澎湃的动力。 【乘坐体验】 后排的体验我老婆和孩子都说很舒服，这样的舒服都是对比我的前一辆车的，所以真实的感受还是要看大家自己，反正我家人觉得舒服就行！ 【最不满意】 最不满意的地方应该就是车机了，很多人说的问题我有时候会遇到，频率不高，但是关键的时候有问题就真的很烦人，这一点我觉得通用还是要尽快重视起来，毕竟驾驶员接触最多的也就是车机了，然后还不能自己装软件，用的百度地图自己真的不习惯，网易云音乐尽然会员后还需要开通车载会员，这个吃相就有点难看了！ 所以我现在用的最多的是无线CarPlay，反正这个能解决我目前所有的问题，所以我也不是很纠结车机的问题。 最后就是自己喜欢所以自己买了，车无完车，放着平常心我觉得都差不多，如果很在意某些地方，那大家还是多考虑考虑。,2023-06-19,苏州
乐天派钢笔1F8,外观吧没有很耐看的感觉，主要是大灯不好看，内饰总体来说缺少豪华感，真皮材质给人感觉一般般，续航在青岛冬天的时候打折厉害，我开车快更是掉电蹭蹭的，考虑到这是一台两吨半的车我就能释怀一些，主要在市区开续航倒是够用。 周末自驾游山玩水也不用充电。 我最远的一次是单程1500公里自驾，这车有自适应巡航和道路居中等辅助驾驶开车是一点不累，在高速充电也方便快捷，基本上跑二百多公里三个小时左右吧，人也休息一下，车也正好补补电，高速充电桩充电180w是很快的，大概上个厕所的功夫就能充的差不多。 按照往年油车费用来算每年大概能给我省7000左右油费 空间和底盘驾驶感受不错，现在越野车开习惯了，一回到我的轿车里就感觉浑身难受憋屈的，这是不是给我自己惯的。-，- 相比于原来的油车整车智能化又是划时代的进步，现在这车不仅是开了，娱乐也是必不可少，看电影玩游戏比之前的只能听歌好玩多了 app还有待增加，我喜欢的腾讯视频一直没上，汽水音乐也是现在最喜欢的用音乐软件，总之来个华为carpaly是最好的，可以解决所有软件了！氛围灯真是让整个车内提高了不少了档次，让我这土包子开了眼，第一次看到氛围灯的豪华感。但内饰缺少点豪华没有实木也看不到真皮，总之安全性从奥特能诞生到现在是值得吹捧和炫耀的，这点没的说,2024-03-12,青岛
朔风无羁,"从决定买纯电新能源车，到最终选定别克E5，前前后后看了十多个品牌，试驾也有7-8辆车，讲讲主要的：
1、特斯拉 model Y：前后试驾过2次，优点：外观酷、操控好、空间出众，缺点：内饰简陋、座椅太硬、关门声音太大、转弯半径大，没有座椅通风。
2、大众ID6 cross：试驾过1次，优点：空间大、价格优惠大、有七座可供选择、转弯半径小；缺点：外观有点丑，被家人以这个理由否了，我个人其实觉得还可以；车机实在太差，没有座椅通风。
3、大众ID6 X：试驾过1次，基本同大众ID6 cross，价格略贵，外观略好。
4、小鹏G9：试驾过1次，优点：内饰、智能驾驶、外观都不错；缺点：没有座椅通风、价格略贵、经营风险。
5、蔚来ES7：试驾过1次，优点：空间大、后续的服务出众；缺点：价格高、外观加了雷达有点丑。
6、理想L7：试驾过2次，优点：空间、内饰、体验都很出众；缺点：不是纯电，价格稍贵
7、阿维塔11：试驾过1次，优点：智驾体验好，封闭路段全程无需干预；缺点：空间小、价格贵。
以上都是2023年6月选购的体验。

最终选择别克E5，主要理由：
1、外观整体不错，大气上档次；
2、车内空间出众，很好满足一家5口使用；
3、储物空间设计合理，特别是后备箱隐藏式储物格，设计合理，便于归类；
4、座椅带通风功能、大尺度天幕采光、通风很好；
5、各类实体按键方便，贴合油车转电车的使用习惯；
6、续航里程545km适合一周使用；
7、驾控体验还不错，底盘比较扎实。
8、车机不错，屏幕大，自带360影像停车方便。
9、老牌车企，不会倒。

但也有一些不足：
1、后排座椅不能调节角度；
2、原装行车记录仪不够清晰。
3、智能驾驶能力差。

使用了8个月的感受：
优点：
1、续航里程很给力，标续是545KM，如果温度在20度左右，不开空调，一般续航能达到550KM。冬天上海零下3度，大概续航达成率80%左右，差不多440KM。
2、可能是幸运，整车还没有出现故障。
3、别克车和车漆都比较牢固，有次车门打开没注意柱子就碰上去了，居然一点痕迹都没有。
4、降价了以后性价比更高，终生送车载流量比较实用。
5、用积分兑换充电度数还是蛮有用的、支持多个品牌的充电站。会组织一些线下活动反馈车主。
6、安吉星一键无忧还是很方便的，有需要帮助的立马能连线。

缺点：
1、作为首批车主，碰到的最大问题是手机蓝牙钥匙不靠谱，一开始经常出现不能开车门的情况；不过在几次版本升级和免费提供实体蓝牙钥匙后解决了该问题。
2、充电口设置在车头不方便，需要充电枪的线较长。无法解决。
3、系统升级不够智能，大的升级需要去4S店，小的升级人必须在车里等着，不能设置一个时间自动升级。
4、iBuick APP&安吉星功能较弱，不能远程控制充电、不能显示充电剩余时间、不能远程打开空调、远程启动试了几次没有成功。
5、最大缺点：降价了没有按照价保政策补偿！！！说实话，这是我最不满意的！
6、还有一点，冬天不开空调会感觉有少许冷风出来，改成内循环也没用。后来按照客服方法将空调打开，将出风口调至只向下出风，再关闭空调，感觉就好多了，应该是穿着裤子鞋子就感觉不明显了。

对于整车，除了自己动手装了后视镜行车记录仪，没有改过其它任何东西。",2024-03-05,上海
萌面刺客821,"提车两个月，跑了快一万公里了，上海提车回广州使用一千六百公里，春节回四川来回三千多公里，加上中间日常使用，这公里数是不是有点大了啊，哈哈😃，

【购车经历】第一辆是2014年买的第一辆车，雪铁龙爱丽舍手动挡，开了八年，九万多公里，省心，耐用，没被扔在路上过，除了一次没油了😂，法系的质量还是不错的，就是有些设计还是有些特别。21年开始，突然迷上了钓鱼🎣，跟其他钓友发育经历差不多，开始就是两根手杆，我也是具备菜鸟又菜又爱玩的属性，技术不够，装备来凑，慢慢钓椅，钓箱，抄网些都有了，后备箱都是钓具，后面估计是抖音视频看多了，看着挺简单的，但上的鱼都不够买饵料的，路亚也开始玩，海杆也是好多根，这一下后备箱就不够用了，后座都是经常塞满装备（其实是懒得卸下来😁），后面有次开着车跟钓友去了一个偏僻点的爆护地，回去得时候陷泥地里面了，弄了两个小时才弄出来，所以为了更好的钓鱼，就想着下台车一定要买台四驱带锁的车，所以啊，开始关注二手车视频，机缘巧合下就买了一辆更冷门的福特翼虎台湾版，保有量就是在路上基本见不到😌，回来整备底盘件，气门室盖垫，四条新at轮胎，花了大几千，这车还要加95号油，全时四驱，夏天空调一开，最夸张的时候，加一次油500多块，只能跑三百五十公里，之前是后备箱不够装，现在够装了，出行成本直线升高啊，稍微去远点几十公里的地方，来回就要一百多园子，好多地方都不去了，也没怎么出去玩过了，反倒成了束缚脚步的了，所以就只能咬牙换车了，考虑最重要的当然就是出行成本啦，电车就成了首选，因为有回家过年长途出行的需求，续航也不能太短，开惯了大一点的车，空间也不能太小，最主要还是要质量可靠，最好是有终身质保，e5，迪子和安子都看过，广州的几家安子四s店都去了好多次，加上广州买埃安有政府补贴一万块，差一点就下手了，但是终身质保一年不能超过三万，对比了下还是咬牙选了e5，比埃安Y多花了好几万呐😔，但是后期使用没有顾虑了也就释怀了。

【提车价格】
有价格保护协议，优惠的有限，发票价21.59
【驾驶感受】
起步加速很轻快，电车的基本素质，比我之前的1.6爱丽舍自吸，翼虎2.3的自吸感觉上升了一个阶层，转向也比较精准，高速跑130 140都是比较稳的。有美系车的调教水平，就是速度上去了，这电耗也是哗哗的上去了。
【续航】
目前的温度最高表显只有440左右，也基本能跑四百多，一直是在外面快充，还没有慢充过
【乘坐体验】
还可以，空间够大，后排座椅放倒后可以伸脚躺平",2024-02-18,上海
风行千叶,"【提车价格】
2023年10月购买
车款：225900元
保险：6399元
上牌：500元
补贴：-6000元
总计：22万6799元

【最满意】
外观大气.颜值高.前排和后排空间大非常喜欢.
实体功能键还在.方便操作.
看重别克奥特能平台.

【最不满意】
后排斜度无法调整.
后备箱相比我前一台车略小.但都可以接收.
高速120后风声有点.低速都很好.
车机还有待别克厂商改进更新.期待...

【购车经历】
原车BYD S7 2015年购入已8年多.
车子不错.但年久的车.考量维修和油耗的问题.
果断决定2023年要购入一台新能源车.
体验科技的进步和顺应时代潮流...

23年10月7天假期.开始了选车之路~
开习惯了S7.比照S7.锁定朝向中型SUV. 
10月广州车展后.心目中车选：
大众ID6 / 小鹏G6 / Model Y / 别克E5  
开始预约试驾.每天试驾1台.深度了解！

多重对比考量.最后选定别克E5

这里特别感谢其它车的4S店小姐姐们.
最后没有购买.还浪费你们的时间给做详细的介绍.
很抱歉...

【驾驶感受】
比较接近油车.特别给力.
动力没得说.很好~
刚开电车开始要适应一段时间.
基本上的配置都有.够用！

【乘坐体验】
目前家人乘座都反应挺好的.没有什么不适.
空间比之前车大.还很平整！

【保养】
目前还没有保养.10000KM后再更新！

【电耗】
10/7下定.10/30提车
2月回一趟老家3100KM.全部高速上充电
现在总共里程6202KM
总花费充电费用1086元
平均每公里0.17元左右.
若全部在广东平时使用每公里0.09元左右.
用车相当便宜...

【续航】
标示545KM
充电100%约430KM左右
充电90%约395KM左右
充电90%约340KM左右
回老家天气冷掉电比较多.广东还好.
总体能接受.",2024-02-21,
安平167965152,"今天第一天提车，本来看的油车星越L,无奈不断上涨的油价，于是开始考虑新能源，最早看的BYD海豚，后来突然在抖音上刷到别克E5顿时被吸引了，然后各种攻略，没事来懂车帝的车友圈里学习，看大家的使用感受，看到综合续航，动力内饰，智能化都不错，然后就下定决心就E5了，9月29号下单臻享长续航，8000影音包，加上暮紫2000，等了15天，昨天到店，因为出差长沙就来不及当天提车，今天早上8点多就等不及的来到4S提车，看到车以后眼睛都发光了，还好没有听老婆的选白色，还是暮紫洋气，哈哈！然后各种验车撕膜，接着就是贷款，上牌，搞到下午三点多，再去装潢店贴个车衣，脚垫，不过要到后天才能拿，后续关于续航什么的开个五千公里再来分享心得，最后是置换的跟了我十年半的小智。",2023-10-16,池州
博尔黑丝,"【选择原因】
         家里有两台油车：一辆奥迪Q5和一辆英朗GT，另外还有一辆东风小电车。家里人都有用车的需求，所以在小孩出生后，用车就有点捉襟见肘了。新增一辆大空间的纯电SUV便提上了日程。选购过程中，试驾对比了一些主流品牌的车型，这里不再一一列举。在预算25万以内的前提下，最终选择了别克E5臻享标续版。
【好评】
        不同人选车所在意的点是不同的，我看中的是安全性和大空间。E5是一辆整体偏向家用的纯电SUV，没有什么特别的长处，也没有什么明显的短板，所以各大榜单鲜有上榜，当然我也不喜欢随处可见的街车。
      （1）空间大：去贵阳避暑，满载三个成人和一个婴儿，生活用品和婴儿用品全部能装下。
      （2）高速120定速巡航，风噪胎噪都比较小，隔音做得不错。
      （3）中大型SUV，考虑车重和风阻，续航比较真实。
【缺点】
        （1）只有手机钥匙和卡片钥匙，没有遥控钥匙；
        （2）主动刹车不能记忆关闭；
        （3）自带行车记录仪车画质不清晰；
        （4）播放优盘音乐没有记忆播放。
【总评】
           100分制，总评80分，如果是家用，不在意车机智能化的话，值得推荐。",2023-07-23,重庆
skytaxy,看车时一眼就相中E5的外观了，符合我的审美，作为家庭用车，空间足够，但是后排靠背有点直而且不可调节，这个差点让我不选择它了，其实空间完全够做成前后和靠背调节，内饰不是奢华的风格，还算精致耐看，用料只能说符合他的价格，这个价位上，L2驾驶辅助、座椅通风、加热、方向盘加热、360全景影像得都给了，实用配置给得很有诚意，车机大屏的显示效果不错，车机语音识别还可以，支持连续双 工对话，车机应用少得可怜，不知道是不是因为新上市的原因🤣🤣 智能驾驶方面还算够用，城市快速路上试了下自适应巡航，比较大的弯道和匝道需要人工接管，一般路段是没问题的，城市里拥堵路段跟车也没问题，开得比较舒适，策略定得比较保守，容易被人插车，如果不赶时间，用自动驾驶还是比较轻松。续航这块刚充了两次，续航基本保持在460-480之间，还没有体现出长续航版应该有的续航水平，了解了下后面随着电池激活应该续航还能涨涨，心里预期标称620KM，实际续航能到530-560之间就满意了😄😄选装包的boss音响，HUD和氛围灯感觉物超所值，音响效果比普通的要好不少，环绕声表现还不错，HUD显示清晰，导航能在HUD里展示，指示也比较清楚，因为自己平常也是用百度导航，所以没有不适应，氛围灯还是比较带感，就是晚上有时候反光，影响视线，一般就路况不复杂时或者孩子在车上开开。,2023-07-18,北京
逝去的浅浅时光,"空间大，硬件很优秀，动力足够，行驶也足够安静，电耗表现可以，车显续航很真实，开起来一切都好，停下来摸不着头脑，百度车机非常拉胯，不靠谱的车机加不靠谱的iBuick配合很容易出问题. 出门一定带NFC！出门一定要带NFC！出门一定要带NFC！出门一定要带NFC！重要的事情说四遍

【最不满意】

百度车机真是垃圾，经历过自动落锁，开门自动熄火，这些注意下用车习惯都可以接受，车载安吉星告警，触控屏幕失灵，后备箱按钮失灵车能开都忍了，百度导航信息错误，限速信息错误也忍了，ikey失灵抛路边人直接崩溃，官方解决只给重启车机太敷衍，通用给个机械钥匙吧，自己花钱选配都行。车载视频和微博这些功能根本用不着，天天黑屏我都无所谓",2023-06-28,北京
梦泛轻舟,"不错。我这个空调咋这么费电。。。我也有点费解。。两组数据都有点奇怪。
这个车我喜欢，毕竟看了那么多车，毛豆3太小了，我胖。。毛豆Y贵了。国产也不是不行。主要是穷。。好点的国产都在30万以上。

【购车经历】
去了等了很久的紫色，本来是想看了紫色再买的，但是等不及了。定金给了，然后就一直等。最后通知看车的时候，不错，颜色好看。

【提车价格】
标续的中配，加了8000的配置，我对音箱有兴趣，其他无所谓。实际使用中抬头HUD还挺满意。可以显示地图，预警之类的信息。

【驾驶感受】
车很大，总怕过不去，还不习惯，预警的我屁股发麻。坐垫会一直快频的抖一下，好用，但是总觉得屁股麻。。悬架偏舒适，也有点硬，但是底盘调教不错。没开过啥其他车，对比的自家的18款帝豪GL和18款昂克赛拉。
一个SUV我觉得很舒适，很有韧性。
单踏板的标准模式还行，也用了一下，相对来说比我试驾那个高回收，舒服很多，不会一下刹停。

【续航】
我觉得无所谓续航，咋个玩都比油车节约很多。我个人认为就是既然都买了电车了。已经很节约了。就无所谓要追求那个低能耗，就算是20度百公里，还是30度百公里，也就1毛多。开着还挺舒服，超车爽。
家里有油车有电车。随便玩就是。

【动力表现】
游刃有余，刚开始也是被洗脑，觉得电车就应该快。后面才想明白，舒适才是我喜欢的，路上大部分车都是慢车，一个比一个慢。我以前的车都是到处超车。还不说这个车呢。。比我以前的快的多。

【乘坐体验】
这个要说一下。。这个座椅是真的有点硬，嘿，就是硬，坐垫也短。不晓得是因为suv和轿车不一样还是啥。坐上去总体舒适度要差点。后排座椅还好，都说直，感觉还好。长途没跑过，也不会用电车跑。。",2023-05-31,成都
